kind,region_id,gt_hurt,n_neg_captured,coverage,support,n_sequences_with_neg,max_sequence_share,loo_all_gt_hurt_zero,loo_max_gt_hurt,enrichment,precision,productive_safe_point,feature_a,feature_b,direction_a,direction_b,combinator,not_a_safe_rule
pairwise_AND,AND::P::abs_log_h::high_tail::q14::P::score_m_bridge::high_tail::q3,13,10,0.26436781609195403,23,5,0.2608695652173913,0,13,1.6446124763705103,0.43478260869565216,0,abs_log_h,score_m_bridge,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q0::P::abs_ratio_m1::high_tail::q15,13,9,0.25287356321839083,22,5,0.22727272727272727,0,13,1.5474308300395256,0.4090909090909091,0,abs_log_h,abs_ratio_m1,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_ratio_m1::high_tail::q12::P::resid_mean::high_tail::q9,13,6,0.21839080459770116,19,4,0.21052631578947367,0,13,1.194508009153318,0.3157894736842105,0,abs_ratio_m1,resid_mean,high_tail,high_tail,AND,1
pairwise_AND,AND::P::dist_h::high_tail::q2::P::score_m_bridge::low_tail::q6,13,5,0.20689655172413793,18,5,0.2222222222222222,0,13,1.0507246376811594,0.2777777777777778,0,dist_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q14::P::dist_h::low_tail::q18,14,9,0.26436781609195403,23,5,0.21739130434782608,0,14,1.4801512287334593,0.391304347826087,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::resid_mean::low_tail::q8,14,8,0.25287356321839083,22,6,0.3181818181818182,0,14,1.3754940711462451,0.36363636363636365,0,abs_log_h,resid_mean,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_ratio_m1::high_tail::q12::P::resid_mean::high_tail::q7,14,6,0.22988505747126436,20,4,0.2,0,14,1.134782608695652,0.3,0,abs_ratio_m1,resid_mean,high_tail,high_tail,AND,1
pairwise_AND,AND::P::dist_h::high_tail::q4::P::score_m_bridge::low_tail::q9,15,8,0.26436781609195403,23,6,0.2608695652173913,0,15,1.3156899810964082,0.34782608695652173,0,dist_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::dist_h::low_tail::q17::P::score_m_bridge::high_tail::q12,15,7,0.25287356321839083,22,6,0.22727272727272727,0,14,1.2035573122529644,0.3181818181818182,0,dist_h,score_m_bridge,low_tail,high_tail,AND,1
pairwise_AND,AND::P::dist_h::high_tail::q12::P::resid_mean::high_tail::q11,16,9,0.28735632183908044,25,6,0.32,0,15,1.3617391304347826,0.36,0,dist_h,resid_mean,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::score_m_bridge::low_tail::q11,18,10,0.3218390804597701,28,6,0.2857142857142857,0,17,1.3509316770186335,0.35714285714285715,0,abs_log_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q13::P::score_m_bridge::high_tail::q3,18,10,0.3218390804597701,28,5,0.21428571428571427,0,18,1.3509316770186335,0.35714285714285715,0,abs_log_h,score_m_bridge,high_tail,high_tail,AND,1
pairwise_AND,AND::P::dist_h::low_tail::q18::P::score_m_bridge::high_tail::q12,18,8,0.2988505747126437,26,6,0.23076923076923078,0,17,1.1638795986622075,0.3076923076923077,0,dist_h,score_m_bridge,low_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_ratio_m1::high_tail::q12::P::dist_h::high_tail::q4,19,10,0.3333333333333333,29,5,0.20689655172413793,0,19,1.3043478260869565,0.3448275862068966,0,abs_ratio_m1,dist_h,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::resid_mean::low_tail::q12,20,11,0.3563218390804598,31,6,0.2903225806451613,0,20,1.3422159887798037,0.3548387096774194,0,abs_log_h,resid_mean,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q8::P::score_m_bridge::low_tail::q12,20,10,0.3448275862068966,30,6,0.26666666666666666,0,19,1.2608695652173911,0.3333333333333333,0,abs_log_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::dist_h::high_tail::q13::P::resid_mean::low_tail::q19,20,7,0.3103448275862069,27,6,0.2222222222222222,0,19,0.9806763285024154,0.25925925925925924,0,dist_h,resid_mean,high_tail,low_tail,AND,1
