clause_id,n_folds_selected,selection_frequency,worst_holdout_gt_hurt,n_folds_holdout_gt_zero,n_folds_holdout_productive,sum_holdout_n_neg,nested_loso_portability_ok
AND::abs_log_h::low_tail::t0.006314496323::dist_h::low_tail::t0.07399854064,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::low_tail::t0.006314496323::dist_h::low_tail::t0.091736523807,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.02910669893::abs_ratio_m1::low_tail::t0.028987050056,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.27826962471::abs_ratio_m1::low_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::low_tail::t0.185914617777::abs_ratio_m1::high_tail::t0.183313727379,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::low_tail::t0.19344856441::abs_ratio_m1::high_tail::t0.183313727379,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::low_tail::t0.27826962471::abs_ratio_m1::high_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.006314496323::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.009772189707::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.01421249155::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.018687288091::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.02910669893::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.032943758368::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.045788195729::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.05120447576::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.058579172194::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.07390588522::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.092215624452::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.108247543871::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.120638878644::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::abs_log_h::high_tail::t0.127115532756::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
