grammar,cell_id,grid_id,mask_sha256,n_neg_captured,n_gt_captured,neg_capture_rate,n_sequences_with_neg,max_neg_sequence_share,single_seq_neg_dominance,min_positive_sequence,min_positive_sequence_n_neg,productive_sequences_json
G2_and,AND::P::abs_log_h::high_tail::q3::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q4::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q5::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q6::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q7::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q8::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q9::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q10::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q11::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q12::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q13::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q14::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q15::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q16::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q17::P::resid_mean::low_tail::q2,P::abs_log_h::high_tail__resid_mean::low_tail,2dc4b8690f5213d4d58ee9f2faf82a5643ebffe8f6ec2eacb01836cd430ab83b,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q17::P::resid_mean::low_tail::q3,P::abs_log_h::high_tail__resid_mean::low_tail,2dc4b8690f5213d4d58ee9f2faf82a5643ebffe8f6ec2eacb01836cd430ab83b,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q17::P::resid_mean::high_tail::q20,P::abs_log_h::high_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q18::P::resid_mean::low_tail::q2,P::abs_log_h::high_tail__resid_mean::low_tail,2dc4b8690f5213d4d58ee9f2faf82a5643ebffe8f6ec2eacb01836cd430ab83b,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q18::P::resid_mean::low_tail::q3,P::abs_log_h::high_tail__resid_mean::low_tail,2dc4b8690f5213d4d58ee9f2faf82a5643ebffe8f6ec2eacb01836cd430ab83b,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q18::P::resid_mean::low_tail::q4,P::abs_log_h::high_tail__resid_mean::low_tail,2dc4b8690f5213d4d58ee9f2faf82a5643ebffe8f6ec2eacb01836cd430ab83b,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::abs_log_h::high_tail::q18::P::resid_mean::low_tail::q5,P::abs_log_h::high_tail__resid_mean::low_tail,b923775d4f4ffaef6a373317b715ecd7caa7c8b119c8d666e18eb9c350e15019,2,0,0.08695652173913043,2,0.5,0,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1, ""MOT17-11-SDP"": 1}"
G2_and,AND::P::abs_log_h::low_tail::q18::P::resid_mean::high_tail::q20,P::abs_log_h::low_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::abs_log_h::low_tail::q19::P::resid_mean::high_tail::q20,P::abs_log_h::low_tail__resid_mean::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
