theta_dist_h,theta_abs_log_h_ratio,n_gt_exposed_tracks,n_gt_hurt_offline_tracks,n_gt_hurt_runtime_tracks,l_gt_offline,l_gt_runtime,ucb_offline,ucb_runtime,offline_safe,runtime_safe,n_fp_exposed_pairs,n_fp_removed_offline_pairs,n_fp_removed_runtime_pairs,g_fp_offline,g_fp_runtime,active_offline_safe,dist_direction_flips,ratio_direction_flips,region_jaccard,unjoined_m,v5_coverage_pass
1.0,0.2,116,23,23,0.19827586206896552,0.19827586206896552,0.26905091911852863,0.26905091911852863,False,False,1373,1135,1143,0.8266569555717407,0.8324836125273124,False,51,302,0.8909224011713031,696,False
1.0,0.25,116,18,19,0.15517241379310345,0.16379310344827586,0.22137271723487514,0.23100839947367666,False,False,1373,1092,1097,0.7953386744355426,0.798980335032775,False,51,319,0.8922841864018335,680,False
1.0,0.3,116,17,17,0.14655172413793102,0.14655172413793102,0.21168075585907178,0.21168075585907178,False,False,1373,1055,1059,0.7683903860160233,0.7713037144938092,False,51,272,0.8998410174880763,664,False
1.0,0.35,116,15,16,0.12931034482758622,0.13793103448275862,0.19211178902063925,0.20192861114602434,False,False,1373,1037,1029,0.7552804078659869,0.7494537509104151,False,51,279,0.8974776240846216,648,False
1.0,0.4,116,15,12,0.12931034482758622,0.10344827586206896,0.19211178902063925,0.16221640666497222,False,False,1373,1017,996,0.7407137654770576,0.7254187909686817,False,51,235,0.9105485232067511,639,False
1.0,0.45,116,14,11,0.1206896551724138,0.09482758620689655,0.18222507404002813,0.152078555674466,False,False,1373,988,962,0.71959213401311,0.7006554989075018,False,51,234,0.9144851657940664,631,False
1.0,0.5,116,13,10,0.11206896551724138,0.08620689655172414,0.17226235722653294,0.14183826908913894,False,False,1373,980,932,0.7137654770575382,0.6788055353241078,False,51,186,0.9221128021486124,625,False
1.0,0.55,116,13,10,0.11206896551724138,0.08620689655172414,0.17226235722653294,0.14183826908913894,False,False,1373,971,929,0.7072104879825201,0.6766205389657683,False,51,125,0.9259927797833934,617,False
1.0,0.6,116,13,10,0.11206896551724138,0.08620689655172414,0.17226235722653294,0.14183826908913894,False,False,1373,965,929,0.7028404952658412,0.6766205389657683,False,51,96,0.928377153218495,617,False
1.1,0.05,116,73,74,0.6293103448275862,0.6379310344827587,0.7042110171882161,0.7123032756897454,False,False,1373,1297,1313,0.9446467589220685,0.956300072833212,False,52,310,0.8983990147783252,809,False
1.1,0.1,116,51,43,0.4396551724137931,0.3706896551724138,0.5202693625182491,0.45065011912276615,False,False,1373,1217,1240,0.8863801893663511,0.9031318281136198,False,52,384,0.8675409836065574,741,False
1.1,0.15,116,30,28,0.25862068965517243,0.2413793103448276,0.33403695980041115,0.31565072126999494,False,False,1373,1161,1183,0.8455935906773488,0.8616168973051711,False,52,323,0.8730715287517532,706,False
1.1,0.2,116,21,21,0.1810344827586207,0.1810344827586207,0.2501241841478092,0.2501241841478092,False,False,1373,1119,1122,0.8150036416605972,0.8171886380189366,False,52,302,0.8791697553743514,682,False
1.1,0.25,116,16,17,0.13793103448275862,0.14655172413793102,0.20192861114602434,0.21168075585907178,False,False,1373,1070,1074,0.7793153678077204,0.7822286962855062,False,52,319,0.8796583850931677,664,False
1.1,0.3,116,14,15,0.1206896551724138,0.12931034482758622,0.18222507404002813,0.19211178902063925,False,False,1373,1031,1031,0.7509104151493081,0.7509104151493081,False,52,272,0.8894308943089431,647,False
1.1,0.35,116,12,13,0.10344827586206896,0.11206896551724138,0.16221640666497222,0.17226235722653294,False,False,1373,1011,996,0.7363437727603788,0.7254187909686817,False,52,279,0.8878661087866109,630,False
1.1,0.4,116,12,9,0.10344827586206896,0.07758620689655173,0.16221640666497222,0.13148252365945562,False,False,1373,989,962,0.7203204661325564,0.7006554989075018,False,52,235,0.9024390243902439,621,False
1.1,0.45,116,11,8,0.09482758620689655,0.06896551724137931,0.152078555674466,0.12099489458458867,False,False,1373,957,927,0.6970138383102695,0.6751638747268754,False,52,234,0.9060523938572719,611,False
1.1,0.5,116,10,7,0.08620689655172414,0.0603448275862069,0.14183826908913894,0.11035415705713712,False,False,1373,946,895,0.6890021849963583,0.6518572469045885,False,52,186,0.9152700186219739,605,False
1.1,0.55,116,10,7,0.08620689655172414,0.0603448275862069,0.14183826908913894,0.11035415705713712,False,False,1373,936,892,0.6817188638018936,0.6496722505462491,False,52,125,0.9219190968955786,597,False
1.1,0.6,116,10,7,0.08620689655172414,0.0603448275862069,0.14183826908913894,0.11035415705713712,False,False,1373,929,892,0.6766205389657683,0.6496722505462491,False,52,96,0.9234404536862004,597,False
1.2,0.05,116,73,74,0.6293103448275862,0.6379310344827587,0.7042110171882161,0.7123032756897454,False,False,1373,1293,1313,0.9417334304442826,0.956300072833212,False,55,310,0.8952556993222428,806,False
1.2,0.1,116,51,43,0.4396551724137931,0.3706896551724138,0.5202693625182491,0.45065011912276615,False,False,1373,1210,1235,0.8812818645302258,0.8994901675163874,False,55,384,0.8625904010519395,734,False
1.2,0.15,116,30,28,0.25862068965517243,0.2413793103448276,0.33403695980041115,0.31565072126999494,False,False,1373,1149,1171,0.8368536052439912,0.8528769118718136,False,55,323,0.8631875881523272,696,False
1.2,0.2,116,21,21,0.1810344827586207,0.1810344827586207,0.2501241841478092,0.2501241841478092,False,False,1373,1100,1104,0.8011653313911143,0.8040786598689003,False,55,302,0.8716216216216216,670,False
1.2,0.25,116,16,17,0.13793103448275862,0.14655172413793102,0.20192861114602434,0.21168075585907178,False,False,1373,1050,1053,0.764748725418791,0.7669337217771304,False,55,319,0.8730283911671924,650,False
1.2,0.3,116,14,15,0.1206896551724138,0.12931034482758622,0.18222507404002813,0.19211178902063925,False,False,1373,1007,1009,0.7334304442825929,0.7348871085214858,False,55,272,0.8816225165562914,632,False
1.2,0.35,116,12,13,0.10344827586206896,0.11206896551724138,0.16221640666497222,0.17226235722653294,False,False,1373,986,971,0.718135469774217,0.7072104879825201,False,55,279,0.8795900939368061,615,False
1.2,0.4,116,12,9,0.10344827586206896,0.07758620689655173,0.16221640666497222,0.13148252365945562,False,False,1373,962,934,0.7006554989075018,0.6802621995630007,False,55,235,0.893048128342246,605,False
1.2,0.45,116,11,8,0.09482758620689655,0.06896551724137931,0.152078555674466,0.12099489458458867,False,False,1373,929,897,0.6766205389657683,0.6533139111434815,False,55,234,0.8943466172381835,595,False
1.2,0.5,116,10,7,0.08620689655172414,0.0603448275862069,0.14183826908913894,0.11035415705713712,False,False,1373,915,862,0.6664238892935178,0.627822286962855,False,55,186,0.9022051773729626,587,False
